Meme_id,Meme_name,Text0,Text1,Industry
4087833,Waiting Skeleton,Waiting for the Cake to Cool Down,be like,Baker
61520,Futurama Fry,When a junior developer asks for coding advice,Not sure if I'm mentoring or just confusing them with my coding wisdom,Web Development
28251713,Oprah You Get A,When you successfully launch a new product,You get a business product launch,Business
4087833,Waiting Skeleton,Waiting for the Food to Cool Down,be like,Food Lover
100777631,Is This A Pigeon,Is this a midnight craving?,Snacking on cookies,Food
87743020,Two Buttons,Virtual Reality Gaming,Traditional Gaming,Entertainment
91538330,X X Everywhere,Textbook Prices,Textbook prices everywhere,Broke College Students
181913649,Drake Hotline Bling,Backend,Weekend,Programmer
188390779,Woman Yelling At Cat,Watching a Movie Adaptation,Comparing It to the Book,Entertainment
181913649,Drake Hotline Bling,Staying Fit with Home Workouts,Gym Membership,Fitness
188390779,Woman Yelling At Cat,Psychologist Analyzing Dreams,Me Just Dreaming of Pizza,Psychology
91538330,X X Everywhere,Part-time Jobs,Part-time jobs everywhere,Student
100777631,Is This A Pigeon,Is this a food challenge?,Trying spicy noodles,Food
28251713,Oprah You Get A,When your cooking video goes viral,You get a food video viral success,Food
188390779,Woman Yelling At Cat,Watching a Movie in 3D,Accidentally Touching the Screen,Entertainment
4087833,Waiting Skeleton,Waiting for the Computer to Boot Up,be like,IT Professional
124822590,Left Exit 12 Off Ramp,Handwritten Calligraphy Classes,Digital Calligraphy Tools,Art
97984,Disaster Girl,Trying a New Craft,Glue Spills Everywhere,DIY
101288,Third World Skeptical Kid,So you are telling me,Influencers don't just get free stuff all the time?,Influencers
101288,Third World Skeptical Kid,So you are telling me,People don't follow influencers for their life-changing advice?,Influencers
101288,Third World Skeptical Kid,So you are telling me,Being an influencer involves more than just taking selfies?,Influencers
101288,Third World Skeptical Kid,So you are telling me,Not everyone wants to become an influencer for the fame?,Influencers
101288,Third World Skeptical Kid,So you are telling me,Influencers have to work with brands they might not even like?,Influencers
188390779,Woman Yelling At Cat,Gardening Expert Discussing Plant Care,Me Having Succulents for a Reason,Gardening
188390779,Woman Yelling At Cat,Explaining Advanced Statistics,Me Confused by Basic Percentages,Education
155067746,Surprised Pikachu,Beauty: Quick Makeup Routine,Takes Longer Than Expected,Beauty
188390779,Woman Yelling At Cat,Boss Assigning Complex Task,Me Trying to Understand,Work
100777631,Is This A Pigeon,Is this a coding marathon?,Staying up all night to meet a deadline,Programmer
188390779,Woman Yelling At Cat,Exams Approaching,Me Panicking Over Exam Prep,Education
4087833,Waiting Skeleton,Waiting for a Letter in the Mail,Waiting for an Email,Communication
188390779,Woman Yelling At Cat,Grad School Applications Expectations,Reality of Writing Personal Statements,Student
100777631,Is This A Pigeon,Is this a culinary delight?,Enjoying a homemade meal,Food
188390779,Woman Yelling At Cat,Cosplay Competition Plans,Reality of Tripping on Stage,Entertainment
259237855,Laughing Leo,Me trying to understand code written,by a genius programmer,Engineer
28251713,Oprah You Get A,Mastering coding languages for versatility,You get a programming versatility,Programmer
